Temperature,Humidity,Humex,CO2,Bright,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,Score,hour
22.7,56.0,25.7,534.0,1.0,0,0,0,1,0,0,0,4.0,23
22.8,55.0,25.7,506.0,1.0,0,0,0,0,1,0,0,4.0,0
22.9,55.0,25.9,577.0,1.0,0,0,0,0,1,0,0,4.0,1
23.0,55.0,26.1,630.0,1.0,0,0,0,0,1,0,0,2.0,2
23.0,55.0,26.1,643.0,1.0,0,0,0,0,1,0,0,3.0,3
23.0,54.0,25.9,674.0,1.0,0,0,0,0,1,0,0,4.0,4
23.0,54.0,25.9,672.0,1.0,0,0,0,0,1,0,0,4.0,5
22.9,54.0,25.7,703.0,1.0,0,0,0,0,1,0,0,3.0,6
22.9,53.0,25.6,688.0,2.0,0,0,0,0,1,0,0,5.0,7
22.8,50.0,25.0,566.0,46.0,0,0,0,0,1,0,0,3.0,8
22.5,46.0,23.9,417.0,429.0,0,0,0,0,1,0,0,3.0,9
23.1,46.0,24.8,564.0,71.0,0,0,0,0,1,0,0,4.0,10
23.5,45.0,25.2,528.0,66.0,0,0,0,0,1,0,0,4.0,11
23.9,45.0,25.8,552.0,7.0,0,0,0,0,1,0,0,5.0,12
24.0,43.0,25.6,621.0,12.0,0,0,0,0,1,0,0,4.0,13
24.3,42.0,25.8,572.0,5.0,0,0,0,0,1,0,0,4.0,14
24.0,37.0,24.6,530.0,137.0,0,0,0,0,1,0,0,3.0,15
24.3,37.0,25.0,543.0,146.0,0,0,0,0,1,0,0,3.0,16
24.4,37.0,25.1,405.0,2.0,0,0,0,0,1,0,0,3.0,17
23.9,39.0,24.8,506.0,2.0,0,0,0,0,1,0,0,4.0,18
24.0,42.0,25.4,528.0,1.0,0,0,0,0,1,0,0,4.0,19
23.7,43.0,25.1,554.0,1.0,0,0,0,0,1,0,0,3.0,20
23.6,44.0,25.2,593.0,1.0,0,0,0,0,1,0,0,4.0,21
23.5,45.0,25.2,624.0,1.0,0,0,0,0,1,0,0,5.0,22
23.3,45.0,24.9,619.0,1.0,0,0,0,0,1,0,0,4.0,23
23.3,45.0,24.9,665.0,1.0,0,0,0,0,0,1,0,5.0,0
23.3,46.0,25.1,658.0,1.0,0,0,0,0,0,1,0,4.0,1
23.1,46.0,24.8,700.0,1.0,0,0,0,0,0,1,0,4.0,2
23.1,46.0,24.8,686.0,1.0,0,0,0,0,0,1,0,4.0,3
22.9,46.0,24.5,672.0,1.0,0,0,0,0,0,1,0,4.0,4
22.9,46.0,24.5,661.0,1.0,0,0,0,0,0,1,0,5.0,5
22.8,46.0,24.3,668.0,1.0,0,0,0,0,0,1,0,4.0,6
22.7,46.0,24.2,665.0,1.0,0,0,0,0,0,1,0,4.0,7
22.7,46.0,24.2,630.0,1.0,0,0,0,0,0,1,0,4.0,8
22.7,45.0,24.0,487.0,7.0,0,0,0,0,0,1,0,4.0,9
22.6,45.0,23.9,489.0,1.0,0,0,0,0,0,1,0,3.0,10
22.6,46.0,24.1,445.0,1.0,0,0,0,0,0,1,0,4.0,11
22.5,46.0,23.9,431.0,1.0,0,0,0,0,0,1,0,4.0,12
22.5,46.0,23.9,464.0,3.0,0,0,0,0,0,1,0,4.0,13
22.7,47.0,24.3,483.0,2.0,0,0,0,0,0,1,0,4.0,14
22.9,47.0,24.6,515.0,4.0,0,0,0,0,0,1,0,3.0,15
23.0,47.0,24.8,525.0,2.0,0,0,0,0,0,1,0,4.0,16
23.0,47.0,24.8,542.0,2.0,0,0,0,0,0,1,0,4.0,17
